Comp,Delta G,Delta H,S
Ca2+,-553.58 ,-542.83 ,-53.14 
Calcite,-1128.80 ,-1206.92 ,92.88 
CaSO4,-1321.80 ,-1434.11 ,106.69 
Aragonite,-1127.80 ,-1207.13 ,88.70 
SO4-2,-744.50 ,-909.27 ,20.08 
Ba2+,-560.80 ,-537.64 ,9.62 
Mg2+,-454.80 ,-466.85 ,-138.07 
Sr2+,-559.50 ,-545.80 ,-32.60 
Fe(II)2+,-78.90 ,-89.12 ,-137.65 
HCO3-,-586.80 ,-691.99 ,91.21 
CO3(2-),-527.80 ,-677.14 ,-56.90 
FeCO3,-661.07 ,-740.57 ,92.88 
MgCO3,-1012.11 ,-1095.79 ,65.69 
BaSO4,-1362.31 ,-1473.19 ,132.21 
SrSO4,-1340.97 ,-1453.10 ,117.57 
F-,-278.80 ,-255.64 ,145.48 
CaF2,-1167.34 ,-1219.64 ,68.87 
Cl-,-131.25 ,-167.15 ,56.48 
Na+,-261.90 ,-240.10 ,59.00 
NaCl,-384.50 ,-410.99 ,72.38 
CaSO4*2H2O,-1797.45 ,-2022.63 ,194.14 
H2O(l),-237.18 ,-285.83 ,69.91 
S-2,85.77 ,33.05 ,-14.64 
FeS,-100.42 ,-100.00 ,60.29 
H2S(g),-33.05 ,-20.17 ,205.77 
