,Hydrogen Sulfide,Nitrogen,Carbon Dioxide,Methane,Ethane,Propane,Isobutane,n-Butane,Isopentane,n-Pentane,n-Hexane,Heptanes+
Hydrogen Sulfide,0,0.1767,0.0974,0.084,0.0833,0.0878,0.0474,0.0006,0.063,0.063,0.0032,0.0046
Nitrogen,0.1767,0,-0.017,0.0311,0.0515,0.0852,0.1033,0.0711,0.01,0.01,0.0603,0.1441
Carbon Dioxide,0.0974,-0.017,0,0.0919,0.1322,0.1241,0.12,0.1333,0.0063,0.0063,0.0087,0.1
Methane,0.084,0.0311,0.0919,0,-0.0026,0.014,0.0256,0.0133,0.023,0.023,0.0313,0.0528
Ethane,0.0833,0.0515,0.1322,-0.0026,0,0.0013,0.0029,0.0038,0.0063,0.0063,0.0086,0.0067
Propane,0.0878,0.0852,0.1241,0.014,0.0013,0,0.0003,0.0033,0.0019,0.0019,0.0034,0.0056
Isobutane,0.0474,0.1033,0.12,0.0256,0.0029,0.0003,0,-0.0004,0.0007,0.0007,0.0016,0.0026
n-Butane,0.0006,0.0711,0.1333,0.0133,0.0038,0.0033,-0.0004,0,0.0003,0.0003,0.0011,0.0033
Isopentane,0.063,0.01,0.0063,0.023,0.0063,0.0019,0.0007,0.0003,0,0,0.0002,0.0074
n-Pentane,0.063,0.01,0.0063,0.023,0.0063,0.0019,0.0007,0.0003,0,0,0.0002,0.0074
n-Hexane,0.0032,0.0603,0.0087,0.0313,0.0086,0.0034,0.0016,0.0011,0.0002,0.0002,0,-0.0078
Heptanes+,0.0046,0.1441,0.1,0.0528,0.0067,0.0056,0.0026,0.0033,0.0074,0.0074,-0.0078,0
