i,j,Aij,Aji
1,2,86.02,-35.36
1,3,61.13,-11.12
1,4,76.5,-69.7
1,5,986.5,156.4
1,6,674.8,50.155
1,7,1318,300
1,8,1333,275.8
1,9,476.4,26.76
1,10,677,505.7
1,11,232.1,114.8
1,12,507,329.3
1,13,251.5,83.36
1,14,391.5,-30.48
1,15,255.7,65.33
1,16,206.6,-83.98
1,17,920.7,1139
1,18,287.77,-101.56
1,19,597,24.82
1,20,663.5,315.3
1,21,35.93,91.46
1,22,53.76,34.01
1,23,24.9,36.7
1,24,104.3,-78.45
1,25,11.44,106.8
1,26,661.5,-32.69
1,27,543,5541
1,28,-54.433,180.28
1,29,287.38,-61.863
1,30,354.55,-25.31
1,31,3025,139.93
1,32,335.8,128
1,33,479.5,-31.52
1,34,27.139,4518.2998
1,35,526.5,50.49
1,36,689,-165.9
1,37,-4.189,47.41
1,38,125.8,-5.132
1,39,485.3,-31.95
1,40,-2.859,147.3
1,41,387.1,529
1,42,-450.4,-34.36
1,43,252.7,110.2
1,44,220.3,13.89
1,45,-5.869,30.74
1,46,390.9,27.97
1,47,553.3,-11.92
1,48,298.62,-57.788
1,49,216.1,-23.61
1,50,92.99,-8.479
1,51,591.04,-102.09
1,55,2054.3,1243.9
1,56,919.8,-38.672
1,57,-39.101,68.141
1,58,-19.628,104.28
1,59,120,-145
1,60,271.12,3.7506
1,61,893.01,742.31
1,62,613.3,315.96
1,63,-78.389,165.81
1,65,481.7,105.3
1,66,270.9,-178.5
1,67,205.51,7.1644
1,68,172.9,27.87
1,69,558,78.06
1,70,10.94,102.35
1,71,-24.42,22.15
1,72,-29.86,30.14
1,74,-123.4,504.1
1,75,54.02,35.64
1,76,-88.341,274.74
1,77,270.32,-171.06
1,79,678.27,-284.66
1,83,184.05,12.039
1,85,562.89,-134.73
2,3,38.81,3.446
2,4,74.15,-113.6
2,5,524.1,457
2,6,787.6,-12.52
2,7,270.6,496.1
2,8,526.1,217.5
2,9,182.6,42.92
2,10,448.75,56.3
2,11,37.85,132.1
2,12,333.5,110.4
2,13,214.5,26.51
2,14,240.9,1.163
2,15,163.9,-28.7
2,16,61.11,-25.38
2,17,749.3,2000
2,18,280.5,-47.63
2,19,336.9,-40.62
2,20,318.9,1264
2,21,-36.87,40.25
2,22,58.55,-23.5
2,23,-13.99,51.06
2,24,-109.7,160.9
2,25,100.1,70.32
2,26,357.5,-1.996
2,28,76.3,16.623
2,29,281.67,-74.469
2,30,262.9,82.64
2,33,183.8,174.6
2,34,74.051,211.88
2,35,179,64.07
2,36,-52.87,573
2,37,-66.46,124.2
2,38,359.3,-131.7
2,39,-70.45,249
2,40,449.4,62.4
2,41,48.33,1397
2,44,86.46,-16.11
2,46,200.2,9.755
2,47,268.1,132.4
2,48,224.31,-62.736
2,49,62.56,161.1
2,51,282.09,-68.78
2,55,2287.5,2381.1001
2,56,-52.107,148.57
2,57,38.602,18.78
2,59,406.8,38.76
2,60,-231.09,667.1
2,62,585,399.44
2,63,-241.56,-364.32
2,65,405.7,-1136
2,67,330.7,-152
2,69,465.5,116.2
2,71,63.78,69.48
2,72,16.35,-5.815
2,83,372.06,497.34
3,4,167,-146.8
3,5,636.1,89.6
3,6,1500.1,-305.9
3,7,903.8,362.3
3,8,1329,25.34
3,9,25.77,140.1
3,10,347.3,23.39
3,11,5.994,85.84
3,12,287.1,18.12
3,13,32.14,52.13
3,14,161.7,-44.85
3,15,122.8,-22.31
3,16,90.49,-223.9
3,17,648.2,247.5
3,18,-4.449,31.87
3,19,212.5,-22.97
3,20,537.4,62.32
3,21,-18.81,4.68
3,22,-144.4,121.3
3,23,-231.9,288.5
3,24,3,-4.7
3,25,187,-97.27
3,26,168.04,10.38
3,27,194.9,1824
3,28,52.068,21.497
3,29,-10.43,28.41
3,30,-64.69,157.29
3,31,210.366,221.4
3,32,113.3,58.68
3,33,261.3,-154.2
3,34,406.59,-117.14
3,35,169.9,-2.504
