maingroup_id,maingroup_name
1,CH2
2,C=C
3,ACH
4,ACCH2
5,OH
6,CH3OH
7,H2O
8,ACOH
9,CH2CO
10,CHO
11,CCOO
12,HCOO
13,CH2O
14,CNH2
15,CNH
16,(C)3N
17,ACNH2
18,PYRIDINE
19,CCN
20,COOH
21,CCL
22,CCL2
23,CCL3
24,CCL4
25,ACCL
26,CNO2
27,ACNO2
28,CS2
29,CH3SH
30,FURFURAL
31,DOH
32,I
33,BR
34,C=-C
35,DMSO
36,ACRY
37,CLCC
38,ACF
39,DMF
40,CF2
41,COO
42,SIH2
43,SIO
44,NMP
45,CCLF
46,CON (AM)
47,OCCOH
48,CH2S
49,MORPH
50,THIOPHEN
51,EPOXY
55,NH3
56,CO2
57,CH4
58,O2
59,AR
60,N2
61,H2S
62,H2
63,CO
65,SO2
66,NO
67,N2O
68,SF6
69,HE
70,NE
71,KR
72,XE
73,HF
74,HCL
75,HBR
76,HI
77,COS
78,F2
79,CL2
80,BR2
81,HCN
82,NO2
83,CF4
84,O3
85,CLNO
